qini,baseline,share_users
1733.6652,861.42554,0.207907
1737.9985,863.4963,0.208407
1741.3318,865.567,0.208906
1742.6652,867.63776,0.209406
1750.9984,869.7085,0.209906
1756.3318,871.77924,0.210406
1760.3318,873.8499,0.210906
1761.6652,875.92065,0.211405
1770.6652,877.9914,0.211905
1776.9984,880.06213,0.212405
1778.665,882.1329,0.212905
1781.9984,884.2036,0.213404
1790.3318,886.27435,0.213904
1801.3318,888.3451,0.214404
1800.665,890.41583,0.214904
1802.3317,892.4866,0.215404
1808.665,894.5573,0.215903
1818.665,896.62805,0.216403
1806.9984,898.6987,0.216903
1816.9984,900.7695,0.217403
1824.9984,902.8402,0.217902
1829.3317,904.91095,0.218402
1839.665,906.9817,0.218902
1843.9983,909.0524,0.219402
1853.9983,911.12317,0.219901
1851.665,913.1939,0.220401
1864.9983,915.26465,0.220901
1873.3317,917.3354,0.221401
1877.6649,919.4061,0.221901
1873.6649,921.4768,0.2224
1889.9983,923.54755,0.2229
1890.3315,925.6183,0.2234
1889.9983,927.689,0.2239
1890.6649,929.75977,0.224399
1910.6649,931.8305,0.224899
1921.9982,933.90125,0.225399
1914.3315,935.972,0.225899
1917.6648,938.0427,0.226399
1914.6648,940.11346,0.226898
1905.6648,942.1842,0.227398
1908.3314,944.25494,0.227898
1927.6648,946.3256,0.228398
1926.6648,948.39636,0.228897
1932.998,950.4671,0.229397
1934.998,952.53784,0.229897
1941.998,954.6086,0.230397
1955.6647,956.6793,0.230897
1954.6646,958.75006,0.231396
1970.3313,960.8208,0.231896
1974.6646,962.89154,0.232396
1989.3312,964.9623,0.232896
1987.9979,967.033,0.233395
2009.6646,969.1037,0.233895
2014.6646,971.17444,0.234395
2004.3312,973.2452,0.234895
2009.331,975.3159,0.235395
2001.331,977.38666,0.235894
2030.6643,979.4574,0.236394
2066.331,981.52814,0.236894
2078.9976,983.5989,0.237394
2091.3308,985.6696,0.237893
2109.9973,987.74036,0.238393
2190.3303,989.8111,0.238893
2222.9968,991.88184,0.239393
2305.9966,993.9525,0.239893
2317.3298,996.02325,0.240392
2347.663,998.094,0.240892
2350.3296,1000.16473,0.241392
2371.3296,1002.2355,0.241892
2368.6628,1004.3062,0.242391
2365.6628,1006.37695,0.242891
2375.6628,1008.4477,0.243391
2392.3293,1010.51843,0.243891
2396.996,1012.5892,0.244391
2410.6626,1014.6599,0.24489
2421.996,1016.73065,0.24539
2420.6626,1018.80133,0.24589
2438.3293,1020.8721,0.24639
2438.9958,1022.9428,0.246889
2442.329,1025.0135,0.247389
2425.9958,1027.0844,0.247889
2433.9958,1029.155,0.248389
2449.6624,1031.2257,0.248888
2456.9958,1033.2965,0.249388
2455.9958,1035.3672,0.249888
2477.9958,1037.438,0.250388
2482.329,1039.5087,0.250888
2485.9958,1041.5795,0.251387
2473.6624,1043.6501,0.251887
2455.6624,1045.721,0.252387
2454.6624,1047.7916,0.252887
2458.9956,1049.8624,0.253386
2447.3289,1051.9331,0.253886
2452.6624,1054.0038,0.254386
2451.9956,1056.0746,0.254886
2461.9956,1058.1453,0.255386
2473.3289,1060.2161,0.255885
2467.9956,1062.2867,0.256385
2469.662,1064.3575,0.256885
2471.9956,1066.4282,0.257385
2472.3289,1068.499,0.257884
2467.662,1070.5697,0.258384
2473.662,1072.6405,0.258884
2489.662,1074.7112,0.259384
2494.9956,1076.7819,0.259884
2508.9956,1078.8527,0.260383
2520.3289,1080.9233,0.260883
2525.662,1082.9941,0.261383
2537.662,1085.0648,0.261883
2537.3289,1087.1356,0.262382
2533.9954,1089.2063,0.262882
2510.9954,1091.2771,0.263382
2526.9954,1093.3478,0.263882
2532.662,1095.4186,0.264382
2536.662,1097.4893,0.264881
2536.9954,1099.56,0.265381
2549.9954,1101.6307,0.265881
2557.9954,1103.7014,0.266381
2559.3289,1105.7722,0.26688
2560.662,1107.8429,0.26738
2553.3286,1109.9137,0.26788
2547.3286,1111.9844,0.26838
2546.662,1114.0552,0.26888
2547.662,1116.1259,0.269379
2548.9954,1118.1967,0.269879
2538.9954,1120.2673,0.270379
2538.6619,1122.3381,0.270879
2543.9954,1124.4088,0.271378
2541.3286,1126.4795,0.271878
2532.9954,1128.5503,0.272378
2530.3286,1130.621,0.272878
2540.3286,1132.6918,0.273378
2529.3286,1134.7625,0.273877
2529.6619,1136.8333,0.274377
2536.6619,1138.9039,0.274877
2546.6619,1140.9747,0.275377
2547.995,1143.0454,0.275876
2541.6619,1145.1162,0.276376
2550.6619,1147.1869,0.276876
2549.995,1149.2576,0.277376
2554.995,1151.3284,0.277876
2553.3286,1153.399,0.278375
2552.6619,1155.4698,0.278875
2563.6619,1157.5405,0.279375
2574.6619,1159.6113,0.279875
2572.995,1161.682,0.280374
2579.995,1163.7528,0.280874
2583.995,1165.8235,0.281374
2587.995,1167.8943,0.281874
2589.995,1169.965,0.282373
2582.6619,1172.0358,0.282873
2590.995,1174.1064,0.283373
2601.6619,1176.1771,0.283873
2605.3284,1178.2479,0.284373
2610.6619,1180.3186,0.284872
2615.995,1182.3894,0.285372
2615.3284,1184.4601,0.285872
2623.3284,1186.5309,0.286372
2622.6619,1188.6016,0.286871
2629.6619,1190.6724,0.287371
2624.995,1192.743,0.287871
2625.995,1194.8138,0.288371
2630.995,1196.8845,0.288871
2629.3284,1198.9552,0.28937
2632.3284,1201.026,0.28987
2636.3284,1203.0967,0.29037
2641.3284,1205.1675,0.29087
2647.3284,1207.2382,0.291369
2650.3284,1209.309,0.291869
2651.3284,1211.3796,0.292369
2653.3284,1213.4504,0.292869
2654.3284,1215.5211,0.293369
2651.6619,1217.5919,0.293868
2654.6619,1219.6626,0.294368
2654.6619,1221.7333,0.294868
2655.6619,1223.8041,0.295368
2655.6619,1225.8748,0.295867
2656.6619,1227.9456,0.296367
2657.6619,1230.0162,0.296867
2659.6619,1232.087,0.297367
2662.995,1234.1577,0.297867
2676.995,1236.2285,0.298366
2685.995,1238.2992,0.298866
2691.6616,1240.37,0.299366
2705.3284,1242.4407,0.299866
2714.6616,1244.5114,0.300365
2715.3284,1246.5822,0.300865
2726.3284,1248.6528,0.301365
2727.6616,1250.7236,0.301865
2729.995,1252.7943,0.302365
2737.995,1254.8651,0.302864
2738.995,1256.9358,0.303364
2736.3284,1259.0066,0.303864
2737.3284,1261.0773,0.304364
2737.3284,1263.1481,0.304863
2737.3284,1265.2188,0.305363
2737.3284,1267.2896,0.305863
2737.3284,1269.3602,0.306363
2739.3284,1271.4309,0.306863
2739.3284,1273.5017,0.307362
2740.3284,1275.5724,0.307862
2742.3284,1277.6432,0.308362
2742.3284,1279.7139,0.308862
2742.3284,1281.7847,0.309361
2738.6616,1283.8553,0.309861
2739.6616,1285.9261,0.310361
2739.6616,1287.9968,0.310861
2739.6616,1290.0676,0.311361
2739.6616,1292.1383,0.31186
2740.6616,1294.209,0.31236
2741.6616,1296.2798,0.31286
2741.6616,1298.3505,0.31336
2741.6616,1300.4213,0.313859
2741.6616,1302.492,0.314359
2731.9949,1304.5627,0.314859
2733.3284,1306.6334,0.315359
2726.9949,1308.7042,0.315858
2729.6616,1310.7749,0.316358
2718.6616,1312.8457,0.316858
2726.6616,1314.9164,0.317358
2731.6616,1316.987,0.317858
2732.9949,1319.0579,0.318357
